Item,Qty,Reference Designators,Description,Manufacturer,Part Number,Package
1,4,C11 C18 C19 C12,CAP CER 4.7UF 25V X5R 0603,Samsung,CL10A475KA8NQNC,C0603
2,1,C16,CAP CER 10UF 25V X5R 0603,Samsung,CL10A106MA8NRNC,C0603
3,4,C17 C2 C13 C20,CAP CER 10NF 16V X7R 0402,Samsung,CL05B103KO5NNNC,C0402
4,1,C22,CAP CER 2.2UF 16V X5R 0603,Samsung,CL10A225KO8NNNC,C0603
5,4,C23 C26 C4 C32,CAP CER 22UF 10V X5R 0603,Samsung,CL10A226MP8NUNE,C0603
6,1,C25,CAP CER 470PF 50V X7R 0402,Samsung,CL05B471KB5NNNC,C0402
7,12,C27 C28 C8 C24 C7 C10 C15 C21 C1 C33 C34 C35,CAP CER 100NF 25V X7R 0402,Samsung,CL05B104KA5NNNC,C0402
8,1,C29,CAP CER 22NF 16V X7R 0402,Samsung,CL05B223KO5NNNC,C0402
9,2,C30 C31,CAP CER 27PF 50V C0G 0402,Samsung,CL05C270JB5NNNC,C0402
10,1,C5,CAP CER 100PF 50V C0G 0402,Samsung,CL05C101JB5NNNC,C0402
11,4,C9 C6 C3 C14,CAP CER 4.7UF 10V X5R 0402,Samsung,CL05A475KP5NRNC,C0402
12,1,D1,DIODE SCHOTTKY 30V 200MA SOT23-3,Fairchild Semiconductor,BAT54LT1G,SOT23
13,1,D2,DIODE SCHOTTKY 40V 3A SOD123W ,Nexperia USA Inc.,"PMEG4030ER,115",SOD123
14,1,D3,LED RGB CLEAR 4SMD ,Everlight,19-237/R6GHBHC-A07/2T,
15,2,D5 D6,LED RED CLEAR 0603 SMD,Lite-On,LTST-C191KRKT,D0603
16,1,D7,LED GREEN CLEAR 0603 SMD,Lite-On,LTST-C191KGKT,D0603
17,1,J1,CONN RCPT USB2.0 MICRO B SMD R/A,FCI,10118193-0001LF,USB_MICRO_A_RA
18,1,J5,CONN MAGJACK 1PORT 100 BASE-T,UDE Corp,RB1-125BAG1A ,
19,1,L1,FIXED IND 22UH 700MA 290 MOHM ,Wurth Electronics Inc.,74404042220,
20,1,L2,FERRITE BEAD 470 OHM 0603 1LN,Sunlord,GZ1608D471TF,L0603
21,2,Q1 Q2,TRANS NPN 40V 0.2A SOT23,ON Semiconductor,MMBT3904LT3G,SOT23
22,1,R13,RES SMD 220K 1% 1/16W 0402,Yageo,RC0402FR-07220KL,R0402
23,1,R14,RES SMD 47K 1% 1/16W 0402,Yageo,RC0402FR-0747KL,R0402
24,6,R17 R18 R19 R24 R45 R46,RES SMD 1.5K 1% 1/16W 0402,Yageo,RC0402FR-071K5L,R0402
25,1,R20,RES SMD 49.9K 1% 1/16W 0402,Yageo,RC0402FR-0749K9L,R0402
26,1,R21,RES SMD 15.4K 1% 1/16W 0402,Yageo,RC0402FR-0715K4L,R0402
27,1,R25,RES SMD 0 1% 1/16W 0402,Yageo,RC0402FR-070RL,R0402
28,1,R28,RES SMD 12.1K 1% 1/16W 0402,Yageo,RC0402FR-0712K1L,R0402
29,2,R3 R47,RES SMD 220 1% 1/16W 0402,Yageo,RC0402FR-07220RL,R0402
30,3,R36 R35 R34,RES SMD 22 1% 1/16W 0402,Yageo,RC0402FR-0722RL,R0402
31,4,R39 R38 R37 R42,RES SMD 49.9 1% 1/16W 0402,Yageo,RC0402FR-0749R9L,R0402
33,2,R40 R41,RES SMD 270 1% 1/16W 0402,Yageo,RC0402FR-07270RL,R0402
34,2,R43 R44,RES SMD 0 1% 1/10W 0603,Yageo,RC0603FR-070RL,R0603
35,1,R5,RES SMD 33.2 1% 1/16W 0402,Yageo,RC0402FR-0733R2L,R0402
36,18,R8 R7 R6 R22 R1 R16 R9 R10 R11 R12 R33 R32 R31 R30 R29 R27 R15 R23,RES SMD 10K 1% 1/16W 0402,Yageo,RC0402FR-0710KL,R0402
37,3,S2 S3 S1,SWITCH TACTILE SPST-NO 0.05A 24V,TE Connectivity,4-1437565-2,SM-6MM
38,2,U1 U7,IC TRNSLTR BIDIRECTIONAL SC70-6 ,Texas Instruments,SN74LVC1T45DCKR,
39,1,U2,ESP32 BLE WIFI MODULE,Espressif Systems,ESP32-WROOM-32D,MODULE_ESP32WROOM32D
40,1,U3,SMD IC INTERFACE USB-UART,WCH,CH340T,
41,1,U4,LDO POSITIVE FIXED 5V 250MA SOT-23,Seaward Elec,SE8550X2-HF,
42,1,U5,IC REG BUCK ADJ 1.2A SOT23-6,Alpha & Omega Semiconductor Inc.,AOZ1282CI,SOT23_6
43,1,U6,IC TXRX ETHERNET 24QFN,Microchip,LAN8720A-CP,QFN24
44,1,X2,SMD CRYSTAL 12MHz Â±30PPM SMD-3225_4P ,TAITIEN Elec ,XXHEELNANF-12M,